Sample	Frequency	Magnitude	Phase	Marker	Timestamp
352	11233.24	5017.23	0.2035663	 	19:11:38
353	11768.12	5017.137	0.2071315	 	19:11:39
354	12328.47	5017.739	0.2110555	 	19:11:39
355	12915.5	5017.996	0.2154739	 	19:11:39
356	13530.48	5018.298	0.2203222	 	19:11:39
357	14174.74	5018.489	0.2261799	 	19:11:39
358	14849.68	5019.374	0.2285622	 	19:11:39
359	15556.76	5019.142	0.2340515	 	19:11:40
360	16297.51	5019.417	0.2404657	 	19:11:40
361	17073.53	5019.769	0.2474032	 	19:11:40
362	17886.5	5020.322	0.2509739	 	19:11:40
363	18738.17	5020.631	0.2543609	 	19:11:40
364	19630.41	5020.884	0.2651869	 	19:11:40
365	20565.12	5021.453	0.2754134	 	19:11:40
366	21544.35	5021.768	0.2714811	 	19:11:41
367	22570.2	5022.149	0.2866752	 	19:11:41
368	23644.89	5022.586	0.285187	 	19:11:41
369	24770.76	5023.708	0.2907725	 	19:11:41
370	25950.24	5024.468	0.3039788	 	19:11:41
371	27185.88	5025.426	0.3062346	 	19:11:42
372	28480.36	5028.874	0.2976542	 	19:11:42
373	29836.47	5032.294	0.2920598	 	19:11:42
374	31257.16	5032.595	0.2973328	 	19:11:42
375	32745.49	5032.798	0.3017912	 	19:11:42
376	34304.69	5032.906	0.3145507	 	19:11:42
377	35938.14	5034.176	0.321414	 	19:11:42
378	37649.36	5034.441	0.3293279	 	19:11:43
379	39442.06	5034.195	0.3384502	 	19:11:43
380	41320.12	5035.05	0.3476017	 	19:11:43
381	43287.61	5034.244	0.3538228	 	19:11:43
382	45348.79	5035.006	0.3788277	 	19:11:43
383	47508.1	5034.687	0.3841646	 	19:11:43
384	49770.23	5036.104	0.3961553	 	19:11:44
385	52140.08	5032.862	0.4439795	 	19:11:44
386	54622.77	5035.426	0.4332675	 	19:11:44
387	57223.68	5036.59	0.4474128	 	19:11:44
388	59948.43	5037.033	0.4574593	 	19:11:44
389	62802.91	5036.979	0.4824981	 	19:11:44
390	65793.32	5037.552	0.4923068	 	19:11:45
391	68926.12	5037.098	0.5024233	 	19:11:45
392	72208.09	5038.298	0.526095	 	19:11:45
393	75646.34	5037.747	0.5405641	 	19:11:45
394	79248.29	5037.91	0.5606446	 	19:11:45
395	83021.76	5037.562	0.5734522	 	19:11:45
396	86974.9	5037.68	0.6067597	 	19:11:46
397	91116.27	5038.254	0.6249981	 	19:11:46
398	95454.84	5038.884	0.6494918	 	19:11:46
399	100000	5034.336	0.7173874	 	19:11:46
400	1000	5005.987	0.04694926	 	19:11:46
401	1047.616	5007.2	0.05503386	 	19:11:46
402	1097.499	5006.016	0.06200629	 	19:11:47
403	1149.757	5005.933	0.05792375	 	19:11:47
404	1204.504	5006.425	0.06617183	 	19:11:47
405	1261.857	5005.993	0.06538115	 	19:11:47
406	1321.941	5005.927	0.05759876	 	19:11:47
407	1384.886	5006.474	0.07238966	 	19:11:47
408	1450.829	5005.872	0.069238	 	19:11:47
409	1519.911	5006.744	0.06931309	 	19:11:48
410	1592.283	5006.619	0.06948579	 	19:11:48
411	1668.101	5006.879	0.07530742	 	19:11:48
412	1747.528	5006.746	0.08244485	 	19:11:48
413	1830.738	5006.772	0.08475196	 	19:11:48
414	1917.91	5006.839	0.07726033	 	19:11:49
415	2009.233	5007.069	0.09042349	 	19:11:49
416	2104.904	5006.936	0.09293132	 	19:11:49
417	2205.131	5007.951	0.09080894	 	19:11:49
418	2310.13	5007.505	0.1024399	 	19:11:49
419	2420.128	5007.926	0.09902605	 	19:11:49
420	2535.365	5007.758	0.1015872	 	19:11:49
421	2656.088	5007.327	0.1048939	 	19:11:50
422	2782.559	5008.366	0.1079283	 	19:11:50
423	2915.053	5008.509	0.1152805	 	19:11:50
424	3053.855	5008.863	0.1104277	 	19:11:50
425	3199.267	5008.78	0.1137685	 	19:11:50
426	3351.603	5008.967	0.1223097	 	19:11:50
427	3511.192	5009.814	0.1292726	 	19:11:51
428	3678.38	5010.017	0.1291793	 	19:11:51
429	3853.529	5010.259	0.1328176	 	19:11:51
430	4037.017	5010.432	0.1327228	 	19:11:51
431	4229.243	5010.591	0.1374642	 	19:11:51
432	4430.622	5010.411	0.1429145	 	19:11:51
433	4641.589	5011.278	0.1422909	 	19:11:52
434	4862.602	5011.751	0.1484886	 	19:11:52
435	5094.138	5011.94	0.1500929	 	19:11:52
436	5336.699	5012.429	0.1521038	 	19:11:52
437	5590.81	5012.36	0.1602724	 	19:11:52
438	5857.021	5012.671	0.1557807	 	19:11:52
439	6135.907	5013.236	0.1602934	 	19:11:53
440	6428.073	5013.46	0.1586101	 	19:11:53
441	6734.151	5013.695	0.1646913	 	19:11:53
442	7054.802	5014.291	0.1715277	 	19:11:53
443	7390.722	5014.489	0.168194	 	19:11:53
444	7742.637	5014.568	0.1736932	 	19:11:53
445	8111.308	5015.099	0.1751868	 	19:11:54
446	8497.534	5015.18	0.1798496	 	19:11:54
447	8902.15	5015.623	0.1862547	 	19:11:54
448	9326.033	5015.98	0.1864148	 	19:11:54
449	9770.1	5016.858	0.1916913	 	19:11:54
450	10235.31	5017.121	0.1984337	 	19:11:54
451	10722.67	5017.278	0.1997777	 	19:11:55
452	11233.24	5017.156	0.204683	 	19:11:55
453	11768.12	5017.232	0.2080228	 	19:11:55
454	12328.47	5017.821	0.2100207	 	19:11:55
455	12915.5	5017.909	0.2144869	 	19:11:55
456	13530.48	5018.306	0.2183449	 	19:11:55
457	14174.74	5018.85	0.2210333	 	19:11:56
458	14849.68	5019.374	0.2285622	 	19:11:56
459	15556.76	5019.514	0.2313126	 	19:11:56
460	16297.51	5019.417	0.2404657	 	19:11:56
461	17073.53	5019.824	0.2486548	 	19:11:56
462	17886.5	5019.848	0.2547578	 	19:11:56
463	18738.17	5020.515	0.2548305	 	19:11:56
464	19630.41	5021.499	0.2661926	 	19:11:57
465	20565.12	5021.342	0.2690476	 	19:11:57
466	21544.35	5021.714	0.2664285	 	19:11:57
467	22570.2	5022.149	0.2866752	 	19:11:57
468	23644.89	5022.589	0.2837748	 	19:11:57
469	24770.76	5023.832	0.2909194	 	19:11:57
470	25950.24	5024.535	0.3003494	 	19:11:58
471	27185.88	5025.522	0.3026812	 	19:11:58
472	28480.36	5028.92	0.2963257	 	19:11:58
473	29836.47	5032.183	0.2914127	 	19:11:58
474	31257.16	5032.558	0.2953486	 	19:11:58
475	32745.49	5032.896	0.3026962	 	19:11:58
476	34304.69	5032.907	0.3125085	 	19:11:59
477	35938.14	5034.276	0.3205192	 	19:11:59
478	37649.36	5034.485	0.3273267	 	19:11:59
479	39442.06	5034.312	0.3378628	 	19:11:59
480	41320.12	5035.05	0.3476017	 	19:11:59
481	43287.61	5034.73	0.3546561	 	19:11:59
482	45348.79	5035.005	0.3803235	 	19:12:0
483	47508.1	5034.62	0.3794722	 	19:12:0
484	49770.23	5035.438	0.3919206	 	19:12:0
485	52140.08	5032.988	0.4412748	 	19:12:0
486	54622.77	5035.114	0.4375979	 	19:12:0
487	57223.68	5036.602	0.4452135	 	19:12:0
488	59948.43	5037.082	0.4552873	 	19:12:1
489	62802.91	5037.686	0.4782088	 	19:12:1
490	65793.32	5036.876	0.4914189	 	19:12:1
491	68926.12	5037.112	0.500784	 	19:12:1
492	72208.09	5038.348	0.5191829	 	19:12:1
493	75646.34	5038.231	0.5402772	 	19:12:1
494	79248.29	5037.925	0.5556995	 	19:12:2
495	83021.76	5037.555	0.5694497	 	19:12:2
496	86974.9	5037.839	0.6063772	 	19:12:2
497	91116.27	5038.42	0.6251484	 	19:12:2
498	95454.84	5038.655	0.6602426	 	19:12:2
499	100000	5034.336	0.7173874	 	19:12:2
